"","volatile.acidity","citric.acid","sulphates","alcohol","quality"
"1",0.7,0,0.56,9.4,"normal"
"2",0.88,0,0.68,9.8,"normal"
"3",0.76,0.04,0.65,9.8,"normal"
"4",0.28,0.56,0.58,9.8,"normal"
"5",0.7,0,0.56,9.4,"normal"
"6",0.66,0,0.56,9.4,"normal"
"7",0.6,0.06,0.46,9.4,"normal"
"8",0.65,0,0.47,10,"bueno"
"9",0.58,0.02,0.57,9.5,"bueno"
"10",0.5,0.36,0.8,10.5,"normal"
"11",0.58,0.08,0.54,9.2,"normal"
"12",0.5,0.36,0.8,10.5,"normal"
"13",0.615,0,0.52,9.9,"normal"
"14",0.61,0.29,NA,9.1,NA
"15",0.62,0.18,0.88,9.2,"normal"
"16",0.62,0.19,0.93,9.2,"normal"
"17",0.28,0.56,0.75,10.5,"bueno"
"18",0.56,0.28,1.28,9.3,"normal"
"19",0.59,0.08,0.5,9,"pobre"
"20",0.32,0.51,1.08,9.2,"normal"
"21",0.22,0.48,0.53,9.4,"normal"
"22",0.39,0.31,0.65,9.7,"normal"
"23",0.43,0.21,0.91,9.5,"normal"
"24",0.49,0.11,0.53,9.4,"normal"
"25",0.4,0.14,0.63,9.7,"normal"
"26",0.39,0.16,0.56,9.3,"normal"
"27",0.41,0.24,0.59,9.5,"normal"
"28",0.43,0.21,0.91,9.5,"normal"
"29",0.71,0,0.55,9.4,"normal"
"30",0.645,0,0.59,9.8,"normal"
"31",0.675,0.07,0.54,10.1,"normal"
"32",0.685,0,0.57,10.6,"normal"
"33",0.655,0.12,0.66,9.8,"normal"
"34",0.605,0.12,0.52,9.4,"normal"
"35",0.32,0.25,0.55,9.2,"normal"
"36",0.645,0,0.55,9.6,"normal"
"37",0.6,0.14,0.6,10.8,"normal"
"38",0.38,0.28,0.73,9.7,"bueno"
"39",1.13,0.09,0.48,9.8,"pobre"
"40",0.45,0.36,0.83,10.5,"normal"
"41",0.45,0.36,0.83,10.5,"normal"
"42",0.61,0.3,0.51,9.3,"pobre"
"43",0.49,0.2,0.9,10.5,"normal"
"44",0.66,0.22,1.2,10.3,"normal"
"45",0.67,0.02,0.52,9.5,"normal"
"46",0.52,0.15,0.56,13.1,"pobre"
"47",0.935,0.43,0.73,9.2,"normal"
"48",0.29,0.52,0.58,9.5,"normal"
"49",0.4,0.23,0.56,9.2,"normal"
"50",0.31,0.37,0.58,9.2,"normal"
"51",0.66,0.26,0.74,9.2,"normal"
"52",0.52,0.04,0.63,9.4,"normal"
"53",0.5,0.04,0.64,9.4,"normal"
"54",0.38,0.36,0.56,9.4,"normal"
"55",0.51,0.15,0.63,10.2,"normal"
"56",0.62,0.04,0.53,9.5,"normal"
"57",0.42,0.57,0.63,9.6,"normal"
"58",0.63,0.12,0.77,9.4,"normal"
"59",0.59,0.18,0.59,10,"normal"
"60",0.39,0.31,0.54,9.4,"normal"
"61",0.4,0.4,0.64,9.2,"normal"
"62",0.69,0.49,0.71,9.3,"normal"
"63",0.52,0.16,0.62,9.5,"bueno"
"64",0.735,0.05,0.57,9.8,"normal"
"65",0.725,0.05,0.39,10.9,"normal"
"66",0.725,0.05,0.39,10.9,"normal"
"67",0.52,0.11,0.58,9.6,"normal"
"68",0.705,0.07,0.58,10.7,"normal"
"69",0.32,0.57,0.79,10.7,"normal"
"70",0.705,0.05,0.95,10.5,"normal"
"71",0.63,0.08,0.54,9.5,"normal"
"72",0.67,0.23,0.48,9.5,"normal"
"73",0.69,0.22,0.48,9.5,"normal"
"74",0.675,0.26,0.53,9.2,"pobre"
"75",0.32,0.54,0.82,9.6,"normal"
"76",0.41,0.64,0.66,10.5,"normal"
"77",0.41,0.64,0.66,10.5,"normal"
"78",0.785,0,0.55,10.7,"normal"
"79",0.75,0.12,0.52,10.1,"normal"
"80",0.625,0.2,1.12,9.1,"pobre"
"81",0.45,0.2,0.56,9.2,"normal"
"82",0.43,0.7,1.28,9.4,"normal"
"83",0.5,0.47,0.57,9.1,"normal"
"84",0.67,0.26,1.14,9.4,"normal"
"85",0.3,0.48,0.78,10.3,"normal"
"86",0.55,0.15,0.59,10.1,"normal"
"87",0.49,0.28,NA,9.9,NA
"88",0.49,0.26,0.64,9.6,"normal"
"89",0.39,0.44,1.22,9.5,"normal"
"90",0.62,0.08,0.53,9,"normal"
"91",0.52,0.26,0.54,9.5,"normal"
"92",0.49,0.28,NA,9.9,NA
"93",0.49,0.29,NA,9.8,NA
"94",0.49,0.26,0.64,9.6,"normal"
"95",1.02,0.04,0.48,10.5,"pobre"
"96",0.6,0.17,0.6,12.9,"normal"
"97",0.775,0,0.56,10.7,"normal"
"98",0.5,0.25,0.63,9.2,"normal"
"99",0.9,0.06,0.56,9.8,"normal"
"100",0.545,0.18,0.59,9,"normal"
"101",0.61,0.3,0.61,10.2,"normal"
"102",0.5,0.3,0.56,10.4,"normal"
"103",0.545,0.18,0.59,9,"normal"
"104",0.575,0.22,0.51,9.2,"normal"
"105",0.49,0.24,0.48,9.4,"normal"
"106",0.575,0.22,0.51,9.2,"normal"
"107",0.41,0.68,1.31,9.3,"normal"
"108",0.63,0.31,0.79,9.3,"normal"
"109",0.33,0.53,0.8,9.6,"normal"
"110",0.785,0.52,0.69,9.3,"normal"
"111",0.56,0.19,0.93,9.5,"normal"
"112",0.62,0.09,0.66,9.8,"normal"
"113",0.6,0.1,0.66,9.8,"normal"
"114",0.31,0.44,0.67,9.7,"normal"
"115",0.56,0.19,0.93,9.5,"normal"
"116",0.4,0.31,0.63,10.5,"normal"
"117",0.54,0.28,0.61,10,"normal"
"118",0.56,0.12,0.5,9.4,"normal"
"119",0.55,0.04,0.6,10.9,"normal"
"120",0.69,0.08,0.54,9.2,"normal"
"121",1.07,0.09,0.57,9,"normal"
"122",0.55,0.04,0.6,10.9,"normal"
"123",0.695,0,0.52,9.2,"normal"
"124",0.71,0,0.53,9.5,"normal"
"125",0.5,0.17,0.48,9.5,"normal"
"126",0.62,0.04,0.7,9.4,"normal"
"127",1.33,0,0.49,10.9,"normal"
"128",1.33,0,0.48,10.9,"normal"
"129",0.59,0.16,0.92,10.5,"bueno"
"130",0.38,0.15,0.57,9.4,"normal"
"131",0.745,0.56,0.66,9.4,"normal"
"132",0.5,0.09,0.63,13,"normal"
"133",0.5,0.09,0.63,13,"normal"
"134",0.5,0.01,0.58,9.8,"normal"
"135",1.04,0.05,0.55,9.9,"normal"
"136",0.745,0.11,0.82,9.6,"normal"
"137",0.715,0.15,0.77,9.5,"normal"
"138",0.415,0.36,0.64,9.2,"normal"
"139",0.56,0.19,0.54,9.5,"normal"
"140",0.56,0.19,0.54,9.5,"normal"
"141",0.745,0.11,0.82,9.6,"normal"
"142",0.715,0.15,0.77,9.5,"normal"
"143",0.34,0,0.79,14,"normal"
"144",0.39,0.08,0.58,9.4,"normal"
"145",0.34,0,0.79,14,"normal"
"146",0.67,0.55,0.62,9.4,"normal"
"147",0.68,0.02,0.52,10,"normal"
"148",0.49,0.26,0.8,9.3,"normal"
"149",0.49,0.1,0.58,10.2,"normal"
"150",0.4,0.44,0.61,10.5,"normal"
"151",0.33,0.47,0.53,10.3,"normal"
"152",0.52,1,NA,9.4,NA
"153",0.6,0.03,0.54,10.1,"normal"
"154",0.6,0.03,0.54,10.1,"normal"
"155",0.43,0.42,0.72,10.5,"normal"
"156",0.43,0.42,0.71,10.5,"normal"
"157",0.43,0.42,0.72,10.5,"normal"
"158",0.43,0.42,0.71,10.5,"normal"
"159",0.68,0,0.5,9.3,"normal"
"160",0.6,0.18,0.57,9.3,"normal"
"161",0.95,0.03,0.56,9.6,"normal"
"162",0.68,0.02,1.08,9.2,"pobre"
"163",0.53,0.04,0.56,10,"normal"
"164",0.6,0.26,0.49,9.4,"normal"
"165",0.59,0.26,0.49,9.4,"normal"
"166",0.63,0.48,0.62,9.5,"normal"
"167",0.64,0.1,0.52,10.2,"normal"
"168",0.55,0.03,0.48,9,"pobre"
"169",0.63,0.07,0.55,10.4,"normal"
"170",0.705,0.24,NA,9.5,NA
"171",0.885,0.03,0.33,9.1,"pobre"
"172",0.42,0.17,0.61,9.2,"normal"
"173",0.42,0.17,0.61,9.2,"normal"
"174",0.62,0.05,0.57,11.5,"normal"
"175",0.38,0.21,0.47,9.5,"normal"
"176",0.5,0.04,0.78,9.5,"normal"
"177",0.38,0.21,0.47,9.5,"normal"
"178",0.52,0.42,0.61,10.5,"normal"
"179",0.805,0,0.56,9.6,"normal"
"180",0.61,0.14,0.59,9.5,"normal"
"181",0.61,0.14,0.59,9.5,"normal"
"182",0.61,0.49,1.02,9.3,"normal"
"183",0.73,0.02,0.52,9.3,"normal"
"184",0.61,0.2,0.58,9.3,"normal"
"185",0.62,0.21,0.58,9.3,"normal"
"186",0.31,0.57,0.53,9.7,"normal"
"187",0.39,0.48,0.55,9.2,"normal"
"188",0.705,0.1,0.49,9.7,"normal"
"189",0.5,0.33,0.55,9.5,"normal"
"190",0.49,0.32,0.55,9.5,"normal"
"191",0.5,0.35,0.62,9.4,"normal"
"192",0.37,0.25,0.62,9.8,"normal"
"193",0.63,0.12,0.61,9.5,"normal"
"194",0.55,0.21,0.55,9.7,"normal"
"195",0.55,0.21,0.55,9.7,"normal"
"196",0.59,0.33,0.54,9.4,"normal"
"197",0.58,0.3,0.59,10.2,"normal"
"198",0.3,0.6,0.97,10.1,"normal"
"199",0.835,0.08,0.85,13,"bueno"
"200",1.09,0.06,0.43,11.4,"pobre"
"201",0.32,0.47,0.82,10.3,"bueno"
"202",0.37,0.48,1.03,9.3,"normal"
"203",0.5,0.11,0.79,9.5,"normal"
"204",0.42,0.35,0.55,9.2,"normal"
"205",0.43,0.36,0.56,9.2,"normal"
"206",0.3,0.74,0.77,10.8,"bueno"
"207",0.3,0.74,0.77,10.8,"bueno"
"208",0.57,0.31,0.53,9.3,"normal"
"209",0.44,0.28,0.67,9.4,"normal"
"210",0.3,0.58,0.88,10.5,"bueno"
"211",0.53,0.6,0.86,12.4,"normal"
"212",0.725,0.24,0.56,10,"normal"
"213",0.44,0.64,0.67,10.2,"normal"
"214",0.57,0.26,0.43,10.1,"normal"
"215",0.735,0.08,0.71,9.8,"normal"
"216",0.49,0.49,0.76,10.5,"normal"
"217",0.625,0.16,0.57,11,"normal"
"218",0.725,0.22,0.55,9.1,"normal"
"219",0.49,0.19,0.54,9.7,"normal"
"220",0.53,0.33,0.6,9.5,"normal"
"221",0.34,0.37,0.59,9.4,"normal"
"222",0.53,0.26,0.57,9.4,"normal"
"223",0.61,0.04,0.6,9.5,"normal"
"224",0.645,0.25,0.6,10,"normal"
"225",0.635,0.36,0.57,10.4,"pobre"
"226",0.43,0.25,0.58,10.5,"normal"
"227",0.59,0.5,NA,9.5,NA
"228",0.82,0.14,0.63,9.8,"normal"
"229",0.43,0.25,0.58,10.5,"normal"
"230",0.52,0.25,0.5,11,"normal"
"231",0.48,0.04,0.62,12.2,"bueno"
"232",0.38,0.06,0.52,9.9,"normal"
"233",0.37,0.2,0.7,9.6,"normal"
"234",0.52,0.25,0.5,11,"normal"
"235",1,0.09,0.55,9,"normal"
"236",0.63,0,0.58,9,"normal"
"237",0.63,0,0.58,9,"normal"
"238",0.645,0,0.58,9.2,"normal"
"239",0.63,0,0.58,9,"normal"
"240",1,0.09,0.55,9,"normal"
"241",0.635,0.37,1.09,9.3,"normal"
"242",0.38,0.56,0.71,10.9,"normal"
"243",0.58,0.1,0.49,9.8,"normal"
"244",0.21,0.44,0.84,9.2,"bueno"
"245",0.21,0.44,0.84,9.2,"bueno"
"246",0.66,0,0.96,9.9,"normal"
"247",0.68,0.07,0.52,9.5,"normal"
"248",0.6,0.17,0.45,9.3,"normal"
"249",0.53,0.06,0.48,9.8,"normal"
"250",0.66,0,0.96,9.9,"normal"
"251",0.32,0.44,0.78,10,"normal"
"252",0.6,0,0.7,9.9,"normal"
"253",0.35,0.48,0.53,10.5,"normal"
"254",0.775,0.42,0.59,9.5,"normal"
"255",0.6,0,0.7,9.9,"normal"
"256",0.57,0.23,0.57,9.3,"normal"
"257",0.34,0.37,0.62,9.2,"normal"
"258",0.695,0,0.67,9.2,"normal"
"259",0.41,0.76,1.26,9.4,"normal"
"260",0.31,0.47,0.8,10.5,"bueno"
"261",0.33,0.23,0.65,9.3,"normal"
"262",0.975,0.04,0.6,9.4,"pobre"
"263",0.52,0.03,0.57,10,"normal"
"264",0.37,0.23,0.67,9.3,"normal"
"265",0.56,0.49,0.87,10.9,"normal"
"266",0.26,0.52,0.72,10.2,"bueno"
"267",0.87,0,0.72,9.8,"pobre"
"268",0.35,0.46,0.86,12.8,"bueno"
"269",0.54,0.04,0.91,9.4,"normal"
"270",0.18,0.51,0.97,10.1,"normal"
"271",0.545,0.06,0.67,10.7,"normal"
"272",0.18,0.51,0.97,10.1,"normal"
"273",0.37,0.58,0.78,10.1,"normal"
"274",0.715,0.2,0.64,9.4,"normal"
"275",0.65,0.18,0.77,9.4,"normal"
"276",0.545,0.06,0.67,10.7,"normal"
"277",0.54,0.04,0.91,9.4,"normal"
"278",0.18,0.51,0.97,10.1,"normal"
"279",0.32,0.45,0.82,12.6,"bueno"
"280",0.4,0.32,0.77,10.5,"bueno"
"281",0.26,0.44,0.82,9.3,"normal"
"282",0.27,0.68,1.08,9.9,"bueno"
"283",0.52,0.12,0.57,9.1,"normal"
"284",0.4,0.32,0.77,10.5,"bueno"
"285",0.59,0.07,0.71,9.8,"normal"
"286",0.59,0.07,0.71,9.8,"normal"
"287",0.45,0.55,0.76,10.3,"normal"
"288",0.4,0.12,0.7,10.3,"normal"
"289",0.52,0.09,0.86,10.6,"bueno"
"290",0.42,0.53,0.95,9.2,"normal"
"291",0.52,0.09,0.86,10.6,"bueno"
"292",0.2,0.48,0.71,10.5,"normal"
"293",0.55,0.23,0.64,10.3,"normal"
"294",0.36,0.25,0.6,10.1,"normal"
"295",0.34,0.52,0.81,9.5,"normal"
"296",0.5,0.46,0.64,9.5,"normal"
"297",0.83,0.37,0.52,9.9,"normal"
"298",0.63,0.06,0.73,9.6,"normal"
"299",0.65,0.02,0.8,9.7,"normal"
"300",0.67,0.06,0.71,9.6,"normal"
"301",0.53,0.06,0.59,10.7,"normal"
"302",0.18,0.48,0.64,10.1,"normal"
"303",0.705,0.12,0.72,10,"normal"
"304",0.67,0.12,0.54,9.5,"normal"
"305",0.65,0.6,0.52,9.2,"normal"
"306",0.53,0.48,0.59,9.3,"normal"
"307",0.62,0.32,0.52,9.4,"normal"
"308",0.41,0.42,0.62,9.5,"normal"
"309",0.43,0.44,0.63,9.5,"normal"
"310",0.29,0.38,0.53,9.5,"normal"
"311",0.53,0.48,0.59,9.3,"normal"
"312",0.53,0.24,0.54,9.4,"normal"
"313",0.46,0.31,0.63,9.5,"normal"
"314",0.47,0.3,0.53,9.4,"normal"
"315",0.36,0.29,0.68,11,"normal"
"316",0.35,0.29,0.65,11,"normal"
"317",0.56,0.23,0.65,10.1,"normal"
"318",0.77,0.12,0.64,10.4,"normal"
"319",0.66,0.39,0.71,11.5,"bueno"
"320",0.77,0.12,0.64,10.4,"normal"
"321",0.66,0.39,0.71,11.5,"bueno"
"322",0.61,0.26,0.62,9.7,"normal"
"323",0.62,0.05,0.63,9.3,"normal"
"324",0.59,0.42,0.7,9.5,"normal"
"325",0.49,0.2,0.69,9.2,"normal"
"326",0.49,0.2,0.69,9.2,"normal"
"327",0.53,0.66,0.74,11.5,"bueno"
"328",0.44,0.5,0.83,11.5,"normal"
"329",0.27,0.62,0.67,9.7,"normal"
"330",0.46,0.39,0.62,9.5,"normal"
"331",0.36,0.64,0.66,12.5,"normal"
"332",0.36,0.64,0.66,12.5,"normal"
"333",0.58,0.28,0.54,9.4,"normal"
"334",0.56,0.08,0.52,11,"normal"
"335",0.65,0.01,0.74,11.7,"bueno"
"336",0.695,0.53,0.84,12.2,"bueno"
"337",0.43,0.45,0.7,12.5,"normal"
"338",0.43,0.32,0.64,10.3,"normal"
"339",0.49,0.58,1,11.5,"normal"
"340",0.28,0.54,1.36,9.8,"bueno"
"341",0.34,0.5,1.18,9.2,"normal"
"342",0.42,0.48,0.87,11.3,"normal"
"343",0.39,0.47,0.75,9.8,"normal"
"344",0.39,0.47,0.75,9.8,"normal"
"345",0.57,0.5,0.78,10.7,"normal"
"346",0.685,0,0.81,9.9,"normal"
"347",0.815,0.02,0.89,12.3,"bueno"
"348",0.49,0.67,0.93,12,"normal"
"349",0.56,0.31,0.92,10,"normal"
"350",0.785,0,0.86,9.4,"normal"
"351",0.67,0.22,0.98,9.9,"normal"
"352",0.795,0,0.83,9.4,"normal"
"353",0.665,0,0.73,9.3,"normal"
"354",0.53,0.79,0.77,13,"normal"
"355",0.21,0.4,0.59,11.9,"normal"
"356",0.75,0.01,0.61,12.8,"normal"
"357",0.41,0.52,0.88,11,"normal"
"358",0.42,0.66,0.75,11.7,"bueno"
"359",0.43,0.66,0.85,10.4,"bueno"
"360",0.38,0.66,0.68,9.8,"normal"
"361",0.7,0.23,0.7,9.4,"normal"
"362",0.45,0.31,0.91,9.9,"normal"
"363",0.58,0.66,0.56,10,"normal"
"364",0.46,0.63,0.87,10.2,"normal"
"365",0.615,0.66,0.73,10,"bueno"
"366",0.42,0.5,0.93,11.8,"normal"
"367",0.615,0.66,0.73,10,"bueno"
"368",0.575,0.61,0.69,9,"normal"
"369",0.34,0.52,0.64,9.4,"normal"
"370",0.27,0.53,1.13,12,"bueno"
"371",0.765,0.02,0.78,9.9,"normal"
"372",0.24,0.4,0.87,8.7,"normal"
"373",0.28,0.48,1.04,10.6,"normal"
"374",0.55,0.22,0.63,9.2,"normal"
"375",0.41,0.63,0.81,10.8,"normal"
"376",0.54,0.71,0.83,11.8,"bueno"
"377",0.45,0.5,1.11,11,"normal"
"378",0.27,0.53,1.13,12,"bueno"
"379",0.625,0.66,0.99,13.3,"normal"
"380",0.42,0.38,0.7,10.8,"normal"
"381",0.26,0.42,0.8,9.4,"normal"
"382",0.415,0.68,0.8,10,"normal"
"383",0.26,0.42,0.8,9.4,"normal"
"384",0.26,0.42,0.8,9.4,"normal"
"385",0.51,0.28,0.74,9.2,"normal"
"386",0.63,0.07,0.76,9.7,"normal"
"387",0.54,0.26,0.74,9.2,"normal"
"388",0.66,0.15,0.54,9.6,"normal"
"389",0.46,0.26,0.74,9.2,"normal"
"390",0.38,0.31,0.7,10,"bueno"
"391",0.85,0.05,0.82,12.9,"bueno"
"392",0.415,0.68,0.8,10,"normal"
"393",0.37,0.52,0.51,9.5,"normal"
"394",0.665,0.61,0.54,9.1,"normal"
"395",0.6,0.65,0.57,9.9,"normal"
"396",0.37,0.76,0.6,13,"bueno"
"397",0.735,0.02,0.53,9.9,"normal"
"398",0.59,0.59,0.65,11,"normal"
"399",0.59,0.59,0.65,11,"normal"
"400",0.765,0.22,0.55,9.4,"normal"
"401",0.735,0.02,0.53,9.9,"normal"
"402",0.26,0.3,0.47,10.8,"normal"
"403",0.48,0.54,0.61,10.5,"normal"
"404",0.6,0.49,0.63,10.5,"normal"
"405",0.69,0.05,0.61,9.1,"normal"
"406",0.31,0.46,0.76,10.1,"normal"
"407",0.44,0.47,0.65,10.8,"normal"
"408",0.39,0.66,0.63,10.8,"bueno"
"409",0.34,0.58,0.7,11.3,"normal"
"410",0.46,0.49,0.57,9.6,"pobre"
"411",0.43,0.34,0.62,9.5,"normal"
"412",0.45,0.35,0.62,9.5,"normal"
"413",0.735,0.16,0.64,9.3,"normal"
"414",0.4,0.53,0.82,11.7,"bueno"
"415",0.52,0.34,0.61,9.5,"normal"
"416",0.725,0.24,1.07,9.3,"normal"
"417",0.48,0.64,0.66,11.7,"normal"
"418",0.58,0.12,0.48,10.5,"normal"
"419",0.38,0.51,0.76,10.4,"normal"
"420",0.77,0,0.68,9.9,"normal"
"421",0.56,0.33,0.73,11.8,"bueno"
"422",0.84,0.03,0.56,12.3,"bueno"
"423",0.96,0.2,0.44,10.9,"normal"
"424",0.24,0.47,0.9,11,"bueno"
"425",0.96,0.2,0.44,10.9,"normal"
"426",0.84,0.03,0.56,12.3,"bueno"
"427",0.67,0.08,0.49,11.4,"normal"
"428",0.78,0.22,0.56,10.6,"normal"
"429",0.52,0.33,0.6,9.3,"normal"
"430",0.84,0.63,0.6,10.4,"normal"
"431",0.24,0.47,0.9,11,"bueno"
"432",0.55,0.35,0.56,9.2,"normal"
"433",0.37,0.69,0.65,12.8,"normal"
"434",0.39,0.63,0.49,9.5,"normal"
"435",0.41,0.55,0.89,9.9,"normal"
"436",0.39,0.63,0.49,9.5,"normal"
"437",0.67,0.3,0.56,10.2,"normal"
"438",0.45,0.73,0.66,11.2,"normal"
"439",0.41,0.55,0.89,9.9,"normal"
"440",0.62,0.18,0.6,9.3,"normal"
"441",0.31,0.72,0.82,9.8,"bueno"
"442",0.4,0.65,0.68,11.3,"normal"
"443",0.685,0.76,0.68,11.2,"bueno"
"444",0.44,0.49,0.63,11.6,"bueno"
"445",0.57,0.01,0.84,12.5,"bueno"
"446",0.735,0.1,0.56,10.1,"normal"
"447",0.38,0.6,0.73,10.5,"normal"
"448",0.48,0.29,0.72,11.2,"normal"
"449",0.53,0.22,0.56,10.2,"normal"
"450",0.39,0.69,0.61,10.8,"normal"
"451",0.39,0.69,0.61,10.8,"normal"
"452",0.37,0.53,1.06,9.1,"normal"
"453",0.56,0.03,0.63,10,"normal"
"454",0.33,0.63,0.74,11.2,"bueno"
"455",0.23,0.4,0.63,11.1,"normal"
"456",0.62,0.67,0.69,13.4,"bueno"
"457",0.59,0.39,0.58,10.3,"normal"
"458",0.63,0.21,0.58,9.6,"normal"
"459",0.33,0.63,0.74,11.2,"bueno"
"460",0.58,0.66,0.57,9,"pobre"
"461",0.43,0.52,0.61,11.3,"normal"
"462",0.615,0.22,0.61,9.3,"normal"
"463",0.26,0.68,0.61,11.8,"normal"
"464",0.66,0.7,0.53,9,"normal"
"465",0.315,0.54,0.7,9.2,"normal"
"466",0.29,0.4,0.91,9.7,"normal"
"467",0.5,0.42,0.72,11.5,"normal"
"468",0.46,0.45,0.79,14,"normal"
"469",0.36,0.69,0.62,9.2,"normal"
"470",0.82,0.02,0.58,9.8,"normal"
"471",0.32,0.65,0.61,10.6,"normal"
"472",0.54,0.42,0.71,11.4,"normal"
"473",0.37,0.55,0.82,10.4,"normal"
"474",0.35,0.55,0.79,10.6,"normal"
"475",0.28,0.51,0.89,9.4,"normal"
"476",0.68,0.24,0.6,10.2,"normal"
"477",0.27,0.41,0.7,9.7,"normal"
"478",0.24,0.49,1.06,11,"normal"
"479",0.68,0.24,0.6,10.2,"normal"
"480",0.685,0.11,0.7,10.1,"normal"
"481",0.28,0.39,0.66,9.2,"normal"
"482",0.3,0.56,0.92,11.7,"bueno"
"483",0.36,0.59,1.05,9.4,"normal"
"484",0.36,0.6,1.06,9.4,"normal"
"485",0.44,0.68,0.66,13.4,"normal"
"486",0.67,0.39,0.47,10,"normal"
"487",0.67,0.39,0.47,10,"normal"
"488",0.645,0.36,0.42,10,"normal"
"489",0.32,0.55,0.92,10.8,"bueno"
"490",0.39,0.4,0.75,10.2,"normal"
"491",0.775,0.27,0.67,10.6,"normal"
"492",0.41,0.5,0.79,13.3,"bueno"
"493",0.4,0.51,0.9,13.4,"bueno"
"494",0.69,0.31,0.74,11.6,"normal"
"495",0.39,0.23,0.55,12.1,"normal"
"496",0.35,0.53,0.65,11,"bueno"
"497",0.52,0.25,0.65,9,"normal"
"498",0.34,0.32,0.79,11.1,"normal"
"499",0.35,0.53,0.65,11,"bueno"
"500",0.69,0.31,0.74,11.6,"normal"
"501",0.52,0.25,0.65,9,"normal"
"502",0.44,0.73,0.85,12,"bueno"
"503",0.44,0.73,0.85,12,"bueno"
"504",0.26,0.47,1.04,10.9,"bueno"
"505",0.24,0.42,1.05,10.8,"bueno"
"506",0.49,0.63,0.78,12.5,"bueno"
"507",0.24,0.46,1.02,10.8,"bueno"
"508",0.67,0.55,0.71,9.5,"normal"
"509",0.59,0.31,0.63,10.2,"normal"
"510",0.29,0.75,0.68,11.4,"bueno"
"511",0.42,0.49,0.61,9.5,"normal"
"512",0.59,0.31,0.63,10.2,"normal"
"513",0.4,0.48,0.81,9.7,"normal"
"514",0.51,0.64,0.66,11.8,"bueno"
"515",0.51,0.64,0.66,11.8,"bueno"
"516",0.655,0.49,1.14,9.3,"normal"
"517",0.6,0.49,0.74,11.9,"normal"
"518",0.61,0.49,0.63,8.4,"pobre"
"519",0.21,0.49,0.68,11.7,"normal"
"520",0.365,0.49,0.78,11,"normal"
"521",0.25,0.49,0.9,10,"normal"
"522",0.41,0.49,0.64,9.1,"normal"
"523",0.39,0.49,0.99,9.8,"normal"
"524",0.4,0.49,0.55,9.4,"normal"
"525",0.43,0.49,0.64,9.5,"normal"
"526",0.64,0.24,0.67,9.9,"normal"
"527",0.365,0.49,0.78,11,"normal"
"528",0.38,0.49,0.77,11.4,"normal"
"529",0.42,0.49,0.75,8.7,"normal"
"530",0.63,0.24,0.57,9.4,"normal"
"531",0.22,0.24,0.87,10.3,"normal"
"532",0.38,0.49,0.61,10.3,"normal"
"533",0.38,0.49,0.61,10.3,"normal"
"534",0.27,0.24,0.66,12.8,"normal"
"535",0.48,0.24,0.56,10,"normal"
"536",0.22,0.24,0.87,10.3,"normal"
"537",0.63,0.24,0.57,9.4,"normal"
"538",0.825,0.24,0.77,10.7,"normal"
"539",0.35,0.49,0.66,12,"bueno"
"540",0.5,0.74,0.62,11.2,"normal"
"541",0.59,0.24,0.67,9.6,"normal"
